label,count,percent_of_all_error_tags
[* m:03s:a],288,5.0
[* m:irr:en],231,4.01
[* m:=ed],216,3.75
[* s:r:gc:pro],205,3.56
[* s:r:gc:det],199,3.45
[* m:0ing],177,3.07
[* m:allo],169,2.93
[* m:base:ed],165,2.86
[* s:r:prep],165,2.86
[* m:++en:i],157,2.73
[* s:r:der],156,2.71
[* m:++er],153,2.66
[* m:+ed],150,2.6
[* m:0est],150,2.6
[* m:vsg:a],148,2.57
[* m:0's],148,2.57
[* m:+3s],147,2.55
[* m:0er],146,2.53
[* m:vun:a],145,2.52
[* m:++s:i],144,2.5
[* m:++est],144,2.5
[* m:irr:s],143,2.48
[* m:++ed:i],133,2.31
[* m:++s],126,2.19
[* s:r],119,2.07
[* m:0s:a],115,2.0
[* m:++ed],107,1.86
[* m:+s:a],105,1.82
[* m:0ed],105,1.82
[* m:+ing],104,1.81
[* m:irr:ed],103,1.79
[* m:sub:en],103,1.79
[* m:base:en],101,1.75
[* m:=s],101,1.75
[* m:+3s:a],100,1.74
[* m:base:s],100,1.74
[* m:=en],100,1.74
[* m:sub:ed],100,1.74
[* m:+en],100,1.74
[* m:base:er],96,1.67
[* m:base:est],95,1.65
[* m:+s],2,0.03
