system_key,split,n_runs,micro_f1_mean,micro_f1_std,exact_match_mean,exact_match_std
acl_rr_exp1_direct_stage3,eval_coverage,1,0.91358,0.0,0.786486,0.0
acl_rr_exp1_direct_stage3,eval_real,1,0.860215,0.0,0.937591,0.0
acl_rr_exp1_direct_stage3,holdout_generalization,1,0.0,0.0,0.0,0.0
acl_rr_exp1_direct_stage3,test_coverage,1,0.904891,0.0,0.772973,0.0
acl_rr_exp1_direct_stage3,test_real,1,0.78534,0.0,0.922853,0.0
acl_rr_exp2_abs_nonword,eval_coverage,1,0.897119,0.0,0.827027,0.0
acl_rr_exp2_abs_nonword,eval_real,1,0.810526,0.0,0.944848,0.0
acl_rr_exp2_abs_nonword,holdout_generalization,1,0.0,0.0,0.0,0.0
acl_rr_exp2_abs_nonword,test_coverage,1,0.915531,0.0,0.854054,0.0
acl_rr_exp2_abs_nonword,test_real,1,0.789474,0.0,0.935953,0.0
acl_rr_exp2_abs_off_no_recon,eval_coverage,1,0.889807,0.0,0.845946,0.0
acl_rr_exp2_abs_off_no_recon,eval_real,1,0.783069,0.0,0.940493,0.0
acl_rr_exp2_abs_off_no_recon,holdout_generalization,1,0.0,0.0,0.0,0.0
acl_rr_exp2_abs_off_no_recon,test_coverage,1,0.90095,0.0,0.872973,0.0
acl_rr_exp2_abs_off_no_recon,test_real,1,0.78534,0.0,0.935953,0.0
