run_name,split_bin,error_count,n,acc
acl_rr_exp1_direct_stage3_seed3407,real,0,600,0.9783333333333334
acl_rr_exp1_direct_stage3_seed3407,real,1,74,0.8378378378378378
acl_rr_exp1_direct_stage3_seed3407,real,2,11,0.18181818181818182
acl_rr_exp1_direct_stage3_seed3407,real,3,2,0.5
acl_rr_exp2_abs_nonword_seed3407,real,0,600,0.9866666666666667
acl_rr_exp2_abs_nonword_seed3407,real,1,74,0.8243243243243243
acl_rr_exp2_abs_nonword_seed3407,real,2,11,0.18181818181818182
acl_rr_exp2_abs_nonword_seed3407,real,3,2,1.0
acl_rr_exp2_abs_nonword_seed3407,synthetic,0,10,0.9
acl_rr_exp2_abs_nonword_seed3407,synthetic,1,347,0.9106628242074928
acl_rr_exp2_abs_nonword_seed3407,synthetic,2,13,0.46153846153846156
acl_rr_exp2_abs_off_no_recon_seed3407,real,0,600,0.9833333333333333
acl_rr_exp2_abs_off_no_recon_seed3407,real,1,74,0.8243243243243243
acl_rr_exp2_abs_off_no_recon_seed3407,real,2,11,0.18181818181818182
acl_rr_exp2_abs_off_no_recon_seed3407,real,3,2,1.0
acl_rr_exp2_abs_off_no_recon_seed3407,synthetic,0,10,0.8
acl_rr_exp2_abs_off_no_recon_seed3407,synthetic,1,347,0.9020172910662824
acl_rr_exp2_abs_off_no_recon_seed3407,synthetic,2,13,0.46153846153846156
acl_rr_exp2_abs_on_manual_seed3407,real,0,600,0.985
acl_rr_exp2_abs_on_manual_seed3407,real,1,74,0.8243243243243243
acl_rr_exp2_abs_on_manual_seed3407,real,2,11,0.18181818181818182
acl_rr_exp2_abs_on_manual_seed3407,real,3,2,0.5
acl_rr_exp4_unseen_tags_seed3407,real,0,600,0.9816666666666667
acl_rr_exp4_unseen_tags_seed3407,real,1,74,0.8378378378378378
acl_rr_exp4_unseen_tags_seed3407,real,2,11,0.18181818181818182
acl_rr_exp4_unseen_tags_seed3407,real,3,2,0.5
