run_name,experiment,system_key,seed,split_pair,eval_split,test_split,eval_micro_f1,test_micro_f1,micro_f1_gap,eval_exact_match,test_exact_match,exact_match_gap,micro_gap_flag_ge_0_05,micro_gap_flag_ge_0_10
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,real_eval_to_real_test,eval_real,test_real,0.860215,0.78534,0.074875,0.937591,0.922853,0.014738,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,coverage_eval_to_coverage_test,eval_coverage,test_coverage,0.91358,0.904891,0.008689,0.786486,0.772973,0.013514,0,0
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,3407,real_eval_to_real_test,eval_real,test_real,0.810526,0.789474,0.021053,0.944848,0.935953,0.008894,0,0
acl_rr_exp2_abs_nonword_seed3407,exp3,acl_rr_exp2_abs_nonword,3407,coverage_eval_to_coverage_test,eval_coverage,test_coverage,0.897119,0.915531,-0.018412,0.827027,0.854054,-0.027027,0,0
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,3407,real_eval_to_real_test,eval_real,test_real,0.783069,0.78534,-0.002272,0.940493,0.935953,0.00454,0,0
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,acl_rr_exp2_abs_off_no_recon,3407,coverage_eval_to_coverage_test,eval_coverage,test_coverage,0.889807,0.90095,-0.011143,0.845946,0.872973,-0.027027,0,0
acl_rr_exp2_abs_on_manual_seed3407,exp3,acl_rr_exp2_abs_on_manual,3407,real_eval_to_real_test,eval_real,test_real,0.834225,0.791444,0.042781,0.940493,0.921397,0.019096,0,0
acl_rr_exp2_abs_on_manual_seed3407,exp3,acl_rr_exp2_abs_on_manual,3407,coverage_eval_to_coverage_test,eval_coverage,test_coverage,0.894085,0.911323,-0.017238,0.775676,0.783784,-0.008108,0,0
acl_rr_exp4_unseen_tags_seed3407,exp4,acl_rr_exp4_unseen_tags,3407,real_eval_to_real_test,eval_real,test_real,0.825397,0.783069,0.042328,0.933237,0.921397,0.011839,0,0
acl_rr_exp4_unseen_tags_seed3407,exp4,acl_rr_exp4_unseen_tags,3407,coverage_eval_to_coverage_test,eval_coverage,test_coverage,0.90535,0.912807,-0.007457,0.781081,0.783784,-0.002703,0,0
