run,split,n,exact_match,micro_f1,micro_precision,micro_recall
recon_mini_nonwordonly_seed3407,eval_real,689,0.7764876632801161,0.2589285714285714,0.2230769230769231,0.30851063829787234
recon_mini_nonwordonly_seed3407,test_real,687,0.7860262008733624,0.20814479638009048,0.18699186991869918,0.23469387755102042
recon_mini_nonwordonly_seed3407,eval_coverage,370,0.3027027027027027,0.3338008415147265,0.347953216374269,0.32075471698113206
recon_mini_nonwordonly_seed3407,test_coverage,370,0.2972972972972973,0.3305785123966942,0.3389830508474576,0.3225806451612903
recon_mini_nonwordonly_seed3407,holdout_generalization,591,0.0,0.0,0.0,0.0
recon_mini_nonwordonly_seed3408,eval_real,689,0.7460087082728593,0.05240174672489083,0.044444444444444446,0.06382978723404255
recon_mini_nonwordonly_seed3408,test_real,687,0.7641921397379913,0.01818181818181818,0.01639344262295082,0.02040816326530612
recon_mini_nonwordonly_seed3408,eval_coverage,370,0.17027027027027028,0.195258019525802,0.2023121387283237,0.18867924528301888
recon_mini_nonwordonly_seed3408,test_coverage,370,0.1783783783783784,0.186556927297668,0.19047619047619047,0.1827956989247312
recon_mini_nonwordonly_seed3408,holdout_generalization,591,0.0,0.0,0.0,0.0
recon_mini_nonwordonly_seed3409,eval_real,689,0.7677793904208998,0.1921397379912664,0.16296296296296298,0.23404255319148937
recon_mini_nonwordonly_seed3409,test_real,687,0.7758369723435226,0.19642857142857142,0.1746031746031746,0.22448979591836735
recon_mini_nonwordonly_seed3409,eval_coverage,370,0.37567567567567567,0.42075736325385693,0.43859649122807015,0.40431266846361186
recon_mini_nonwordonly_seed3409,test_coverage,370,0.32972972972972975,0.38367346938775515,0.3884297520661157,0.3790322580645161
recon_mini_nonwordonly_seed3409,holdout_generalization,591,0.0,0.0,0.0,0.0
